,forecast
2026-06-28,23.791
2026-06-29,23.746
2026-06-30,23.744
2026-07-01,23.743
2026-07-02,23.743
2026-07-03,23.783
2026-07-04,23.785
2026-07-05,23.787
2026-07-06,23.78
2026-07-07,23.782
2026-07-08,23.782
2026-07-09,23.782
2026-07-10,23.804
2026-07-11,23.805
2026-07-12,23.806
2026-07-13,23.802
2026-07-14,23.803
2026-07-15,23.803
2026-07-16,23.803
2026-07-17,23.815
2026-07-18,23.816
2026-07-19,23.817
2026-07-20,23.815
2026-07-21,23.815
2026-07-22,23.815
2026-07-23,23.815
2026-07-24,23.822
2026-07-25,23.822
2026-07-26,23.823
2026-07-27,23.821
